Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,
ELADDB01,A D BABY OIL (L) 170 ML,PCS,135,0,0,0,0,41.8500,"5,649.75",284.06,45.00,60.00,ELDER,,,
ATAMT201,A-MINT TAB 2X1000,PCS,0,0,0,0,0,84.0000,0.00,375.00,84.00,100.00,ATUL,,SODAT,
ABFLOS26,AARLEVO 0.31 RESPULES 2.5ML,PCS,0,0,0,0,0,2.1200,0.00,49.22,2.12,2.55,AARMED,,,
ABFLOS27,AARLEVO 0.63 RESPULES 2.5ML,PCS,0,0,0,0,0,2.2000,0.00,60.94,2.20,2.65,AARMED,,,
ALABMI01,AB MAL INJECTION 150 MG/2ML 2ml,PCS,1289,0,0,0,0,12.4200,"16,009.38",182.00,13.50,13.50,ALKEM(HC),,IP100350,
INABP101,ABD PLUS 1 TAB 1 TAB,PCS,-664,0,0,0,0,3.1500,"-2,091.60",48.50,3.15,3.25,INTAS,,IP107521,
ZSABP101,ABD PLUS 1 TAB 10X10,PCS,13,0,0,0,0,30.5000,396.50,379.69,30.50,305.00,ZSP,,,
INABPS01,ABD PLUS SUS 10ML 10 ML,PCS,4267,0,0,0,0,9.9400,"42,413.98",57.66,9.94,10.25,INTAS,,IP107519,
ZSABPS01,ABD PLUS SUS 10ML 10 ML,PCS,0,0,0,0,0,9.8000,0.00,52.50,9.80,9.80,ZSP,,,
INABS101,ABD SUSPENSION 10ML     (H) 10ml,PCS,2924,0,0,0,0,9.2200,"26,959.28",19.11,9.22,9.50,INTAS,,IP100264,
INAB1T01,ABD-400 1 TAB (ALU-ALU),PCS,-26950,0,0,0,0,2.7600,"-74,382.00",7.52,2.76,2.90,INTAS,,IP100267,
HBABTA01,ABHAY TOX(TT AMP)0.5ML 0.5ML,PCS,-10,0,0,0,0,7.0800,-70.80,13.08,7.08,9.35,HUMAN BIOLOGICAL,,,
ALAB2I01,ABIUM 2.5MG INJ. 2.5MG,PCS,310,0,0,0,0,20.0000,"6,200.00",154.69,20.00,30.00,ANG LIFESCIENCES,,,
ABAB1T01,ABIXIM 100MG TAB 10S 10 TAB,PCS,-290,0,0,0,0,24.3000,"-7,047.00",131.84,27.00,27.00,ABBOTT,SCOTT EDIL NEW,IP102710,
ABAB2T01,ABIXIM 200 TABS 10S 10 TAB,PCS,8210,0,0,0,0,32.5000,"266,825.00",104.43,32.50,32.50,ABBOTT,SCOTT EDIL NEW,IP102755,
